"","Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
"1",2018-02-26,2.635,2.68,2.586,2.639,0.014,2.639,11810,7508
"2",2018-02-23,2.619,2.633,2.555,2.631,0.009,2.625,65154,27467
"3",2018-02-22,2.657,2.67,2.607,2.617,0.025,2.634,58069,36367
"4",2018-02-21,2.638,2.68,2.565,2.652,0.043,2.659,111710,65328
"5",2018-02-20,2.568,2.662,2.562,2.637,0.058,2.616,141517,87165
"6",2018-02-16,2.584,2.589,2.539,2.572,0.022,2.558,104520,107719
"7",2018-02-15,2.613,2.623,2.53,2.581,0.007,2.58,153612,127197
"8",2018-02-14,2.608,2.623,2.553,2.614,0.007,2.587,169214,154204
"9",2018-02-13,2.566,2.642,2.562,2.607,0.042,2.594,195431,178007
"10",2018-02-12,2.554,2.607,2.538,2.565,0.032,2.552,186222,213053
"11",2018-02-09,2.694,2.704,2.576,2.605,0.113,2.584,227734,241742
"12",2018-02-08,2.702,2.758,2.681,2.691,0.005,2.697,186700,265542
"13",2018-02-07,2.761,2.782,2.688,2.701,0.057,2.702,216322,290963
"14",2018-02-06,2.767,2.785,2.695,2.763,0.012,2.759,172184,302615
"15",2018-02-05,2.825,2.88,2.736,2.759,0.099,2.747,188143,305066
"16",2018-02-02,2.891,2.92,2.84,2.863,0.01,2.846,176467,320476
"17",2018-02-01,2.956,2.978,2.837,2.885,0.139,2.856,315848,350376
"18",2018-01-31,3.165,3.183,2.949,2.958,0.2,2.995,320146,348443
"19",2018-01-30,3.187,3.259,3.161,3.163,0.028,3.195,248276,359238
"20",2018-01-29,3.08,3.188,3.038,3.183,0.008,3.167,256623,371465
"21",2018-01-26,3.105,3.197,3.072,3.169,0.076,3.175,244600,369875
"22",2018-01-25,3.051,3.169,3.045,3.097,0.019,3.099,294553,371289
"23",2018-01-24,3.09,3.132,3.024,3.049,0.041,3.08,269594,375624
"24",2018-01-23,2.949,3.129,2.944,3.092,0.108,3.039,235799,372013
"25",2018-01-22,2.98,2.99,2.907,2.945,0.01,2.931,145692,363040
"26",2018-01-19,2.988,2.998,2.926,2.939,0.047,2.941,150490,354356
"27",2018-01-18,3.029,3.07,2.905,2.985,0.036,2.988,171742,358142
"28",2018-01-17,2.964,3.038,2.929,3.025,0.062,3.024,175449,356493
"29",2018-01-16,2.94,2.975,2.872,2.954,0.031,2.962,190739,358743
"30",2018-01-12,2.954,2.996,2.911,2.988,0.068,2.993,244779,350250
"31",2018-01-11,2.819,2.957,2.801,2.954,0.103,2.925,238741,341721
"32",2018-01-10,2.882,2.906,2.788,2.821,0.03,2.822,139321,336574
"33",2018-01-09,2.77,2.892,2.755,2.879,0.08,2.852,145261,316249
"34",2018-01-08,2.761,2.813,2.721,2.77,0.027,2.772,130355,303644
"35",2018-01-05,2.809,2.817,2.693,2.738,0.068,2.745,99279,293077
"36",2018-01-04,2.935,2.992,2.776,2.805,0.118,2.813,110345,285892
"37",2018-01-03,2.96,2.974,2.885,2.934,0.042,2.931,108336,280876
"38",2018-01-02,2.972,3.035,2.874,2.957,0.067,2.973,114391,280835
"39",2017-12-29,2.886,2.956,2.873,2.905,0.028,2.906,97942,280067
"40",2017-12-28,2.714,2.903,2.7,2.887,0.179,2.878,128235,294227
"41",2017-12-27,2.623,2.722,2.588,2.709,0.068,2.699,53966,293081
"42",2017-12-26,2.641,2.72,2.607,2.619,0.009,2.631,48847,291492
"43",2017-12-22,2.578,2.638,2.553,2.636,0.063,2.622,33172,287580
"44",2017-12-21,2.614,2.626,2.532,2.577,0.045,2.559,65591,281740
"45",2017-12-20,2.693,2.725,2.582,2.612,0.061,2.604,59678,276730
"46",2017-12-19,2.712,2.738,2.662,2.687,0.055,2.665,59509,274227
"47",2017-12-18,2.643,2.751,2.629,2.712,0.11,2.72,63017,271948
"48",2017-12-15,2.677,2.719,2.581,2.622,0.068,2.61,68813,268308
"49",2017-12-14,2.695,2.708,2.635,2.681,0.026,2.678,56080,266134
"50",2017-12-13,2.686,2.736,2.647,2.688,0.034,2.704,69212,257168
"51",2017-12-12,2.79,2.83,2.668,2.682,0.146,2.67,84408,246024
"52",2017-12-11,2.819,2.831,2.781,2.793,0.049,2.816,60165,241030
"53",2017-12-08,2.769,2.813,2.75,2.782,0.006,2.767,74731,231161
"54",2017-12-07,2.882,2.895,2.75,2.77,0.137,2.761,105251,229056
"55",2017-12-06,2.888,2.935,2.865,2.887,0.004,2.898,50748,220941
"56",2017-12-05,2.95,2.968,2.855,2.888,0.061,2.894,64244,213615
"57",2017-12-04,3.04,3.082,2.926,2.947,0.07,2.955,58437,207682
"58",2017-12-01,3.003,3.077,3.002,3.019,0.026,3.025,53519,208131
"59",2017-11-30,3.135,3.15,2.984,2.995,0.138,2.999,68763,203778
"60",2017-11-29,3.093,3.164,3.09,3.134,0.045,3.137,66504,199946
"61",2017-11-28,3.008,3.114,3.001,3.094,0.102,3.092,59883,197418
"62",2017-11-27,2.999,3.017,2.96,3.007,0.083,2.99,49663,197491
"63",2017-11-24,3.025,3.054,2.894,2.915,0.127,2.907,49807,192002
"64",2017-11-22,3.076,3.087,3.025,3.029,0.044,3.034,53958,183828
"65",2017-11-21,3.094,3.121,3.074,3.078,0.029,3.078,43154,181664
"66",2017-11-20,3.123,3.138,3.088,3.092,0.045,3.107,32663,180135
"67",2017-11-17,3.134,3.176,3.127,3.174,0.031,3.152,40528,180331
"68",2017-11-16,3.146,3.163,3.113,3.134,0.019,3.121,40646,181512
"69",2017-11-15,3.14,3.2,3.115,3.144,0.025,3.14,44532,180544
"70",2017-11-14,3.197,3.206,3.13,3.143,0.057,3.165,60926,183665
"71",2017-11-13,3.257,3.269,3.188,3.2,0.04,3.222,54078,181128
"72",2017-11-10,3.258,3.272,3.233,3.265,0.009,3.262,36312,179857
"73",2017-11-09,3.218,3.265,3.217,3.26,0.022,3.253,60496,175572
"74",2017-11-08,3.211,3.241,3.178,3.218,0.019,3.231,47886,172331
"75",2017-11-07,3.182,3.23,3.154,3.212,0.023,3.212,47867,172189
"76",2017-11-06,3.153,3.197,3.118,3.176,0.121,3.189,44812,171846
"77",2017-11-03,3.025,3.079,3.023,3.076,0.043,3.068,21435,171768
"78",2017-11-02,2.984,3.051,2.98,3.026,0.033,3.025,31641,171023
"79",2017-11-01,3.006,3.022,2.96,2.992,0.008,2.992,34011,172513
"80",2017-10-31,3.081,3.097,2.988,3.005,0.066,3,44761,170563
"81",2017-10-30,3.05,3.101,3.044,3.086,0.003,3.066,25641,171174
"82",2017-10-27,3.139,3.139,3.057,3.063,0.07,3.069,45491,172713
"83",2017-10-26,3.176,3.182,3.127,3.137,0.026,3.139,32510,171917
"84",2017-10-25,3.23,3.232,3.162,3.172,0.051,3.165,26704,174458
"85",2017-10-24,3.218,3.243,3.201,3.227,0.024,3.216,31674,174362
"86",2017-10-23,3.264,3.279,3.213,3.216,0.032,3.24,33885,173661
"87",2017-10-20,3.191,3.217,3.168,3.206,0.02,3.208,34194,169607
"88",2017-10-19,3.179,3.207,3.119,3.191,0.024,3.188,57673,168434
"89",2017-10-18,3.196,3.204,3.158,3.17,0.054,3.164,40762,170488
"90",2017-10-17,3.213,3.256,3.188,3.192,0.016,3.218,31577,169052
"91",2017-10-16,3.207,3.224,3.167,3.209,0.039,3.202,27742,166787
"92",2017-10-13,3.222,3.258,3.218,3.24,0.022,3.241,34380,163617
"93",2017-10-12,3.166,3.237,3.155,3.217,0.065,3.219,52625,155535
"94",2017-10-11,3.155,3.218,3.15,3.164,0.012,3.154,43345,149769
"95",2017-10-10,3.12,3.167,3.116,3.155,0.044,3.166,42841,141167
"96",2017-10-09,3.139,3.16,3.116,3.116,0.022,3.122,31046,134582
"97",2017-10-06,3.17,3.179,3.132,3.146,0.049,3.144,39481,132088
